sheet,address,formula,functions,referenced_sheets
Ancil Invoices,L88,='2012 YTD Summary'!M26,,2012 YTD Summary
Ancil Invoices,I90,=SUM(I85:I89),SUM,
Ancil Invoices,N90,=SUM(N85:N89),SUM,
Ancil Invoices,I92,=SUM(I90+I91),SUM,
Ancil Invoices,N92,=SUM(N90+N91),SUM,
Aug Revenue,AC3,='Staffing July'!O18,,Staffing July
Aug Revenue,AC4,='Staffing August'!K1,,Staffing August
Aug Revenue,E5,=D5-C5,,
Aug Revenue,F5,"=SUMIF(G5,"">0"")-M5",SUMIF,
Aug Revenue,G5,=H5-I5+J5,,
Aug Revenue,H5,"=IF(D5>$E$2,$E$2-C5,IF(D5<=$E$2,D5-C5))",IF,
Aug Revenue,I5,"=IF(C5<$E$1,$D$2-C5,0)",IF,
Aug Revenue,AH26,=AD30,,
Aug Revenue,AD28,"=COUNTIF(AB5:AB33, ""S"")",COUNTIF,
Aug Revenue,AE28,=SUM(AD28/AD30),SUM,
Aug Revenue,AF28,"=AVERAGEIFS(E$5:$E33,E$5:$E33,"">0"",AB$5:$AB33,""S"")",AVERAGEIFS,
Aug Revenue,AD29,"=COUNTIF(AB5:AB33, ""M"")",COUNTIF,
Aug Revenue,AE29,=SUM(AD29/AD30),SUM,
Aug Revenue,AF29,"=AVERAGEIFS(E$5:$E33,E$5:$E33,"">0"",AB$5:$AB33,""M"")",AVERAGEIFS,
Aug Revenue,AD30,=SUM(AD28:AD29),SUM,
Aug Revenue,AE30,=SUM(AE28+AE29),SUM,
Aug Revenue,AF30,=J57,,
Aug Revenue,AD32,=J56,,
Aug Revenue,AD36,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",AB$5:$AB33,""S"")",SUMIFS,
Aug Revenue,AE36,=AD36,,
Aug Revenue,AG36,=SUM(AD36/AD38),SUM,
Aug Revenue,AH36,=AF28,,
Aug Revenue,AD37,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",AB$5:$AB33,""M"")",SUMIFS,
Aug Revenue,AG37,=SUM(AD37/AD38),SUM,
Aug Revenue,AD38,=SUM(AD36+AD37),SUM,
Aug Revenue,AG38,=SUM(AG36+AG37),SUM,
Aug Revenue,AD42,"=COUNTIF(Z5:Z33, ""mcr"")",COUNTIF,
Aug Revenue,AE42,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",Z$5:$Z33,""=mcr"")",SUMIFS,
Aug Revenue,AF42,=AE42,,
Aug Revenue,AH42,=SUM(AD42/AD$54),SUM,
Aug Revenue,AI42,=SUM(AE42/AD42),SUM,
Aug Revenue,AD43,"=COUNTIF(Z5:Z33, ""mcd"")",COUNTIF,
Aug Revenue,AE43,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",Z$5:$Z33,""=mcd"")",SUMIFS,
Aug Revenue,AD44,"=COUNTIF(Z5:Z33, ""BCBS"")",COUNTIF,
Aug Revenue,AE44,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",Z$5:$Z33,""=bcbs"")",SUMIFS,
Aug Revenue,AD45,"=COUNTIF(Z5:Z33, ""cigna"")",COUNTIF,
Aug Revenue,AE45,"=SUMIFS(E$5:$F33,E$5:$F33,"">0"",Z$5:$AA33,""=Cigna"")",SUMIFS,
Aug Revenue,AD46,"=COUNTIF(Z5:Z33, ""humana"")",COUNTIF,
Aug Revenue,AE46,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",$Z$5:Z33,""=humana"")",SUMIFS,
Aug Revenue,AD47,"=COUNTIF(Z5:Z33, ""value op"")",COUNTIF,
Aug Revenue,AE47,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",Z$5:$Z33,""=Value OP"")",SUMIFS,
Aug Revenue,AD48,"=COUNTIF(Z5:Z33, ""UBH"")",COUNTIF,
Aug Revenue,AE48,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",Z$5:$Z33,""=ubh"")",SUMIFS,
Aug Revenue,AD49,"=COUNTIF(Z5:Z33, ""vantage"")",COUNTIF,
Aug Revenue,AE49,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",Z$5:$Z33,""=vantage"")",SUMIFS,
Aug Revenue,F50,=SUM(F5:F48),SUM,
Aug Revenue,AD50,"=COUNTIF(Z5:Z33, ""priv"")",COUNTIF,
Aug Revenue,AE50,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",Z$5:$Z33,""=priv"")",SUMIFS,
Aug Revenue,AD51,"=COUNTIF(Z5:Z33, ""INS"")",COUNTIF,
Aug Revenue,AE51,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",Z$5:$Z33,""INS"")",SUMIFS,
Aug Revenue,B52,=AVERAGE(B5:B37),AVERAGE,
Aug Revenue,AD52,"=COUNTIF(Z5:Z33, ""sterling"")",COUNTIF,
Aug Revenue,AE52,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",Z$5:$Z33,""=sterling"")",SUMIFS,
Aug Revenue,E53,=SUM(E5:E40),SUM,
Aug Revenue,AD53,"=COUNTIF(Z5:Z33, ""ind"")",COUNTIF,
Aug Revenue,AE53,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",Z$5:$Z33, ""=Ind"")",SUMIFS,
Aug Revenue,A54,=SUM(O57+Q57+S57)+U57+W57,SUM,
Aug Revenue,AD54,=SUM(AD42:AD53),SUM,
Aug Revenue,E56,"=SUMIF(E5:E40,"">0"")",SUMIF,
