sheet,address,formula,functions,referenced_sheets
Staffing September,Z19,='Daily Census IP 2012'!Y28,,Daily Census IP 2012
Staffing September,AA19,='Daily Census IP 2012'!Z28,,Daily Census IP 2012
Staffing September,AB19,='Daily Census IP 2012'!AA28,,Daily Census IP 2012
Staffing September,AC19,='Daily Census IP 2012'!AB28,,Daily Census IP 2012
Staffing September,AD19,='Daily Census IP 2012'!AC28,,Daily Census IP 2012
Staffing September,AE19,='Daily Census IP 2012'!AD28,,Daily Census IP 2012
Staffing September,AF19,='Daily Census IP 2012'!AE28,,Daily Census IP 2012
Staffing September,AH21,=C69,,
Staffing September,B33,=SUM(C33:AG33),SUM,
Staffing September,AH33,=SUM(C33:AG33),SUM,
Staffing September,B41,=SUM(C41:AG41),SUM,
Staffing September,AH41,=SUM(C41:AG41),SUM,
Staffing September,B51,=SUM(B41:B50),SUM,
Staffing September,B52,=SUM(C52:AG52),SUM,
Staffing September,C52,=C19,,
Staffing September,B69,=SUM(C21:AG21),SUM,
Staffing September,C69,=SUM(B69*B56),SUM,
Staffing September,D69,=SUM(B69/G$18),SUM,
Staffing October,A2,=A21,,
Staffing October,B2,=SUM(B21),SUM,
Staffing October,E2,"=SUMIF(C21:AG21, "">0"")/COUNTIF(C21:AG21, "">0"")",COUNTIF;SUMIF,
Staffing October,H2,=SUM(E2-B2),SUM,
Staffing October,U2,='Daily Census IP 2012'!G43,,Daily Census IP 2012
Staffing October,X3,=SUM(C34:AG34),SUM,
Staffing October,AA3,=B81,,
Staffing October,AD3,=SUM(X3*AA3),SUM,
Staffing October,AB6,=SUM(AD3:AD5),SUM,
Staffing October,Z8,=SUM(C38:AG38),SUM,
Staffing October,AD8,=B56,,
Staffing October,AF8,='Daily Census IP 2012'!A46,,Daily Census IP 2012
Staffing October,Z9,=SUM(C37:AG37),SUM,
Staffing October,Z10,=SUM(Z11)*(AD10),SUM,
Staffing October,Z11,=B33,,
Staffing October,AF12,='Daily Census IP 2012'!A49,,Daily Census IP 2012
Staffing October,X13,=SUM(B41/B51),SUM,
Staffing October,Z13,=SUM(B42/B51),SUM,
Staffing October,AB13,=SUM(B43/B51),SUM,
Staffing October,AD13,=SUM(B44:B50)/SUM(B51),SUM,
Staffing October,Y14,=B43,,
Staffing October,Z14,=SUM(Y14*AF12),SUM,
Staffing October,AB14,='2012 YTD Summary'!O13,,2012 YTD Summary
Staffing October,AE14,='2012 YTD Summary'!O33,,2012 YTD Summary
Staffing October,A17,=G18,,
Staffing October,G17,=M18,,
Staffing October,G18,='Daily Census IP 2012'!AH32,,Daily Census IP 2012
Staffing October,M18,='Daily Census IP 2012'!AI31,,Daily Census IP 2012
Staffing October,O18,='Daily Census IP 2012'!A2,,Daily Census IP 2012
Staffing October,Z18,=G18,,
Staffing October,AF18,=M18,,
Staffing October,B19,=U2,,
Staffing October,C19,='Daily Census IP 2012'!B31,,Daily Census IP 2012
Staffing October,D19,='Daily Census IP 2012'!C31,,Daily Census IP 2012
Staffing October,E19,='Daily Census IP 2012'!D31,,Daily Census IP 2012
Staffing October,F19,='Daily Census IP 2012'!E31,,Daily Census IP 2012
Staffing October,G19,='Daily Census IP 2012'!F31,,Daily Census IP 2012
Staffing October,H19,='Daily Census IP 2012'!G31,,Daily Census IP 2012
Staffing October,I19,='Daily Census IP 2012'!H31,,Daily Census IP 2012
Staffing October,J19,='Daily Census IP 2012'!I31,,Daily Census IP 2012
Staffing October,K19,='Daily Census IP 2012'!J31,,Daily Census IP 2012
Staffing October,L19,='Daily Census IP 2012'!K31,,Daily Census IP 2012
Staffing October,M19,='Daily Census IP 2012'!L31,,Daily Census IP 2012
Staffing October,N19,='Daily Census IP 2012'!M31,,Daily Census IP 2012
Staffing October,O19,='Daily Census IP 2012'!N31,,Daily Census IP 2012
Staffing October,P19,='Daily Census IP 2012'!O31,,Daily Census IP 2012
Staffing October,Q19,='Daily Census IP 2012'!P31,,Daily Census IP 2012
Staffing October,R19,='Daily Census IP 2012'!Q31,,Daily Census IP 2012
Staffing October,S19,='Daily Census IP 2012'!R31,,Daily Census IP 2012
Staffing October,T19,='Daily Census IP 2012'!S31,,Daily Census IP 2012
Staffing October,U19,='Daily Census IP 2012'!T31,,Daily Census IP 2012
Staffing October,V19,='Daily Census IP 2012'!U31,,Daily Census IP 2012
Staffing October,W19,='Daily Census IP 2012'!V31,,Daily Census IP 2012
Staffing October,X19,='Daily Census IP 2012'!W31,,Daily Census IP 2012
Staffing October,Y19,='Daily Census IP 2012'!X31,,Daily Census IP 2012
Staffing October,Z19,='Daily Census IP 2012'!Y31,,Daily Census IP 2012
Staffing October,AA19,='Daily Census IP 2012'!Z31,,Daily Census IP 2012
Staffing October,AB19,='Daily Census IP 2012'!AA31,,Daily Census IP 2012
Staffing October,AC19,='Daily Census IP 2012'!AB31,,Daily Census IP 2012
Staffing October,AD19,='Daily Census IP 2012'!AC31,,Daily Census IP 2012
Staffing October,AE19,='Daily Census IP 2012'!AD31,,Daily Census IP 2012
Staffing October,AF19,='Daily Census IP 2012'!AE31,,Daily Census IP 2012
Staffing October,AG19,='Daily Census IP 2012'!AF31,,Daily Census IP 2012
Staffing October,AH21,=C69,,
Staffing October,B33,=SUM(C33:AG33),SUM,
Staffing October,AH33,=SUM(C33:AG33),SUM,
Staffing October,B41,=SUM(C41:AG41),SUM,
Staffing October,AH41,=SUM(C41:AG41),SUM,
Staffing October,B51,=SUM(B41:B50),SUM,
Staffing October,B52,=SUM(C52:AG52),SUM,
Staffing October,C52,=C19,,
Staffing October,B69,=SUM(C21:AG21),SUM,
Staffing October,C69,=SUM(B69*B56),SUM,
Staffing October,D69,=SUM(B69/G$18),SUM,
Staffing November,A2,=A21,,
Staffing November,B2,=SUM(B21),SUM,
Staffing November,E2,"=SUMIF(C21:AG21, "">0"")/COUNTIF(C21:AG21, "">0"")",COUNTIF;SUMIF,
Staffing November,H2,=SUM(E2-B2),SUM,
Staffing November,U2,='Daily Census IP 2012'!G43,,Daily Census IP 2012
Staffing November,X3,=SUM(C34:AG34),SUM,
Staffing November,AA3,=B81,,
Staffing November,AD3,=SUM(X3*AA3),SUM,
Staffing November,AB6,=SUM(AD3:AD5),SUM,
Staffing November,Z8,=SUM(C38:AG38),SUM,
Staffing November,AD8,=B56,,
Staffing November,AF8,='Daily Census IP 2012'!A46,,Daily Census IP 2012
Staffing November,Z9,=SUM(C37:AG37),SUM,
Staffing November,Z10,=SUM(Z11)*(AD10),SUM,
Staffing November,Z11,=B33,,
Staffing November,AF12,='Daily Census IP 2012'!A49,,Daily Census IP 2012
Staffing November,X13,=SUM(B41/B51),SUM,
Staffing November,Z13,=SUM(B42/B51),SUM,
Staffing November,AB13,=SUM(B43/B51),SUM,
Staffing November,AD13,=SUM(B44:B50)/SUM(B51),SUM,
Staffing November,Y14,=B43,,
Staffing November,Z14,=SUM(Y14*AF12),SUM,
Staffing November,AB14,='2012 YTD Summary'!O13,,2012 YTD Summary
Staffing November,AE14,='2012 YTD Summary'!O33,,2012 YTD Summary
Staffing November,A17,=G18,,
Staffing November,G17,=M18,,
Staffing November,G18,='Daily Census IP 2012'!AH35,,Daily Census IP 2012
Staffing November,M18,='Daily Census IP 2012'!AI34,,Daily Census IP 2012
Staffing November,O18,='Daily Census IP 2012'!A2,,Daily Census IP 2012
Staffing November,Z18,=G18,,
Staffing November,AF18,=M18,,
Staffing November,B19,=U2,,
Staffing November,C19,='Daily Census IP 2012'!B34,,Daily Census IP 2012
Staffing November,D19,='Daily Census IP 2012'!C34,,Daily Census IP 2012
Staffing November,E19,='Daily Census IP 2012'!D34,,Daily Census IP 2012
Staffing November,F19,='Daily Census IP 2012'!E34,,Daily Census IP 2012
Staffing November,G19,='Daily Census IP 2012'!F34,,Daily Census IP 2012
Staffing November,H19,='Daily Census IP 2012'!G34,,Daily Census IP 2012
Staffing November,I19,='Daily Census IP 2012'!H34,,Daily Census IP 2012
Staffing November,J19,='Daily Census IP 2012'!I34,,Daily Census IP 2012
Staffing November,K19,='Daily Census IP 2012'!J34,,Daily Census IP 2012
Staffing November,L19,='Daily Census IP 2012'!K34,,Daily Census IP 2012
Staffing November,M19,='Daily Census IP 2012'!L34,,Daily Census IP 2012
Staffing November,N19,='Daily Census IP 2012'!M34,,Daily Census IP 2012
Staffing November,O19,='Daily Census IP 2012'!N34,,Daily Census IP 2012
Staffing November,P19,='Daily Census IP 2012'!O34,,Daily Census IP 2012
Staffing November,Q19,='Daily Census IP 2012'!P34,,Daily Census IP 2012
Staffing November,R19,='Daily Census IP 2012'!Q34,,Daily Census IP 2012
Staffing November,S19,='Daily Census IP 2012'!R34,,Daily Census IP 2012
Staffing November,T19,='Daily Census IP 2012'!S34,,Daily Census IP 2012
Staffing November,U19,='Daily Census IP 2012'!T34,,Daily Census IP 2012
Staffing November,V19,='Daily Census IP 2012'!U34,,Daily Census IP 2012
Staffing November,W19,='Daily Census IP 2012'!V34,,Daily Census IP 2012
Staffing November,X19,='Daily Census IP 2012'!W34,,Daily Census IP 2012
Staffing November,Y19,='Daily Census IP 2012'!X34,,Daily Census IP 2012
Staffing November,Z19,='Daily Census IP 2012'!Y34,,Daily Census IP 2012
Staffing November,AA19,='Daily Census IP 2012'!Z34,,Daily Census IP 2012
Staffing November,AB19,='Daily Census IP 2012'!AA34,,Daily Census IP 2012
Staffing November,AC19,='Daily Census IP 2012'!AB34,,Daily Census IP 2012
Staffing November,AD19,='Daily Census IP 2012'!AC34,,Daily Census IP 2012
Staffing November,AE19,='Daily Census IP 2012'!AD34,,Daily Census IP 2012
Staffing November,AF19,='Daily Census IP 2012'!AE34,,Daily Census IP 2012
Staffing November,AH21,=C69,,
Staffing November,B33,=SUM(C33:AG33),SUM,
Staffing November,AH33,=SUM(C33:AG33),SUM,
Staffing November,B41,=SUM(C41:AG41),SUM,
Staffing November,AH41,=SUM(C41:AG41),SUM,
Staffing November,B51,=SUM(B41:B50),SUM,
Staffing November,B52,=SUM(C52:AG52),SUM,
Staffing November,C52,=C19,,
Staffing November,B69,=SUM(C21:AG21),SUM,
Staffing November,C69,=SUM(B69*B56),SUM,
Staffing November,D69,=SUM(B69/G$18),SUM,
Staffing December,A2,=A21,,
Staffing December,B2,=SUM(B21),SUM,
Staffing December,E2,"=SUMIF(C21:AG21, "">0"")/COUNTIF(C21:AG21, "">0"")",COUNTIF;SUMIF,
Staffing December,H2,=SUM(E2-B2),SUM,
Staffing December,U2,='Daily Census IP 2012'!G43,,Daily Census IP 2012
Staffing December,X3,=SUM(C34:AG34),SUM,
Staffing December,AA3,=B81,,
Staffing December,AD3,=SUM(X3*AA3),SUM,
Staffing December,AB6,=SUM(AD3:AD5),SUM,
Staffing December,Z8,=SUM(C38:AG38),SUM,
Staffing December,AD8,=B56,,
Staffing December,AF8,='Daily Census IP 2012'!A46,,Daily Census IP 2012
Staffing December,Z9,=SUM(C37:AG37),SUM,
Staffing December,Z10,=SUM(Z11)*(AD10),SUM,
Staffing December,Z11,=B33,,
Staffing December,AF12,='Daily Census IP 2012'!A49,,Daily Census IP 2012
Staffing December,X13,=SUM(B41/B51),SUM,
Staffing December,Z13,=SUM(B42/B51),SUM,
Staffing December,AB13,=SUM(B43/B51),SUM,
Staffing December,AD13,=SUM(B44:B50)/SUM(B51),SUM,
Staffing December,Y14,=B43,,
Staffing December,Z14,=SUM(Y14*AF12),SUM,
Staffing December,AB14,='2012 YTD Summary'!O13,,2012 YTD Summary
Staffing December,AE14,='2012 YTD Summary'!O33,,2012 YTD Summary
Staffing December,A17,=G18,,
Staffing December,G17,=M18,,
Staffing December,G18,='Daily Census IP 2012'!AH38,,Daily Census IP 2012
Staffing December,M18,='Daily Census IP 2012'!AI37,,Daily Census IP 2012
Staffing December,O18,='Daily Census IP 2012'!A2,,Daily Census IP 2012
Staffing December,Z18,=G18,,
Staffing December,AF18,=M18,,
Staffing December,B19,=U2,,
Staffing December,C19,='Daily Census IP 2012'!B37,,Daily Census IP 2012
Staffing December,D19,='Daily Census IP 2012'!C37,,Daily Census IP 2012
Staffing December,E19,='Daily Census IP 2012'!D37,,Daily Census IP 2012
Staffing December,F19,='Daily Census IP 2012'!E37,,Daily Census IP 2012
Staffing December,G19,='Daily Census IP 2012'!F37,,Daily Census IP 2012
Staffing December,H19,='Daily Census IP 2012'!G37,,Daily Census IP 2012
Staffing December,I19,='Daily Census IP 2012'!H37,,Daily Census IP 2012
Staffing December,J19,='Daily Census IP 2012'!I37,,Daily Census IP 2012
Staffing December,K19,='Daily Census IP 2012'!J37,,Daily Census IP 2012
Staffing December,L19,='Daily Census IP 2012'!K37,,Daily Census IP 2012
Staffing December,M19,='Daily Census IP 2012'!L37,,Daily Census IP 2012
Staffing December,N19,='Daily Census IP 2012'!M37,,Daily Census IP 2012
Staffing December,O19,='Daily Census IP 2012'!N37,,Daily Census IP 2012
Staffing December,P19,='Daily Census IP 2012'!O37,,Daily Census IP 2012
Staffing December,Q19,='Daily Census IP 2012'!P37,,Daily Census IP 2012
Staffing December,R19,='Daily Census IP 2012'!Q37,,Daily Census IP 2012
Staffing December,S19,='Daily Census IP 2012'!R37,,Daily Census IP 2012
Staffing December,T19,='Daily Census IP 2012'!S37,,Daily Census IP 2012
Staffing December,U19,='Daily Census IP 2012'!T37,,Daily Census IP 2012
Staffing December,V19,='Daily Census IP 2012'!U37,,Daily Census IP 2012
Staffing December,W19,='Daily Census IP 2012'!V37,,Daily Census IP 2012
Staffing December,X19,='Daily Census IP 2012'!W37,,Daily Census IP 2012
Staffing December,Y19,='Daily Census IP 2012'!X37,,Daily Census IP 2012
Staffing December,Z19,='Daily Census IP 2012'!Y37,,Daily Census IP 2012
Staffing December,AA19,='Daily Census IP 2012'!Z37,,Daily Census IP 2012
Staffing December,AB19,='Daily Census IP 2012'!AA37,,Daily Census IP 2012
Staffing December,AC19,='Daily Census IP 2012'!AB37,,Daily Census IP 2012
Staffing December,AD19,='Daily Census IP 2012'!AC37,,Daily Census IP 2012
Staffing December,AE19,='Daily Census IP 2012'!AD37,,Daily Census IP 2012
Staffing December,AF19,='Daily Census IP 2012'!AE37,,Daily Census IP 2012
Staffing December,AG19,='Daily Census IP 2012'!AF37,,Daily Census IP 2012
Staffing December,AH21,=C69,,
Staffing December,B33,=SUM(C33:AG33),SUM,
Staffing December,AH33,=SUM(C33:AG33),SUM,
Staffing December,B41,=SUM(C41:AG41),SUM,
Staffing December,AH41,=SUM(C41:AG41),SUM,
Staffing December,B51,=SUM(B41:B50),SUM,
Staffing December,B52,=SUM(C52:AG52),SUM,
Staffing December,C52,=C19,,
Staffing December,B69,=SUM(C21:AG21),SUM,
Staffing December,C69,=SUM(B69*B56),SUM,
Staffing December,D69,=SUM(B69/G$18),SUM,
2012 YTD Summary,B4,='Daily Census IP 2012'!AI5,,Daily Census IP 2012
2012 YTD Summary,C4,='Daily Census IP 2012'!AI8,,Daily Census IP 2012
2012 YTD Summary,D4,='Daily Census IP 2012'!AI11,,Daily Census IP 2012
2012 YTD Summary,E4,='Daily Census IP 2012'!AI14,,Daily Census IP 2012
2012 YTD Summary,F4,='Daily Census IP 2012'!AI17,,Daily Census IP 2012
2012 YTD Summary,G4,='Daily Census IP 2012'!AI20,,Daily Census IP 2012
2012 YTD Summary,H4,='Daily Census IP 2012'!AI23,,Daily Census IP 2012
2012 YTD Summary,I4,='Daily Census IP 2012'!AI26,,Daily Census IP 2012
2012 YTD Summary,J4,='Daily Census IP 2012'!AI29,,Daily Census IP 2012
2012 YTD Summary,K4,='Daily Census IP 2012'!AI32,,Daily Census IP 2012
2012 YTD Summary,L4,='Daily Census IP 2012'!AI35,,Daily Census IP 2012
2012 YTD Summary,M4,='Daily Census IP 2012'!AI38,,Daily Census IP 2012
2012 YTD Summary,N4,"=SUM(B4:M4)/COUNTIF(B4:M4, "">0"")",COUNTIF;SUM,
2012 YTD Summary,O4,=SUM(B4:M4),SUM,
2012 YTD Summary,B5,='Daily Census IP 2012'!AI6,,Daily Census IP 2012
2012 YTD Summary,C5,='Daily Census IP 2012'!AI9,,Daily Census IP 2012
2012 YTD Summary,D5,='Daily Census IP 2012'!AI12,,Daily Census IP 2012
2012 YTD Summary,E5,='Daily Census IP 2012'!AI15,,Daily Census IP 2012
2012 YTD Summary,F5,='Daily Census IP 2012'!AI18,,Daily Census IP 2012
2012 YTD Summary,G5,='Daily Census IP 2012'!AI21,,Daily Census IP 2012
2012 YTD Summary,H5,='Daily Census IP 2012'!AI24,,Daily Census IP 2012
2012 YTD Summary,I5,='Daily Census IP 2012'!AI27,,Daily Census IP 2012
2012 YTD Summary,J5,='Daily Census IP 2012'!AI30,,Daily Census IP 2012
2012 YTD Summary,K5,='Daily Census IP 2012'!AI33,,Daily Census IP 2012
2012 YTD Summary,L5,='Daily Census IP 2012'!AI36,,Daily Census IP 2012
2012 YTD Summary,M5,='Daily Census IP 2012'!AI39,,Daily Census IP 2012
2012 YTD Summary,B6,='Daily Census IP 2012'!AI4,,Daily Census IP 2012
2012 YTD Summary,C6,='Daily Census IP 2012'!AI7,,Daily Census IP 2012
2012 YTD Summary,D6,='Daily Census IP 2012'!AI10,,Daily Census IP 2012
2012 YTD Summary,E6,='Daily Census IP 2012'!AI13,,Daily Census IP 2012
2012 YTD Summary,F6,='Daily Census IP 2012'!AI16,,Daily Census IP 2012
2012 YTD Summary,G6,='Daily Census IP 2012'!AI19,,Daily Census IP 2012
2012 YTD Summary,H6,='Daily Census IP 2012'!AI22,,Daily Census IP 2012
2012 YTD Summary,I6,='Daily Census IP 2012'!AI25,,Daily Census IP 2012
2012 YTD Summary,J6,='Daily Census IP 2012'!AI28,,Daily Census IP 2012
2012 YTD Summary,K6,='Daily Census IP 2012'!AI31,,Daily Census IP 2012
2012 YTD Summary,L6,='Daily Census IP 2012'!AI34,,Daily Census IP 2012
2012 YTD Summary,M6,='Daily Census IP 2012'!AI37,,Daily Census IP 2012
2012 YTD Summary,N6,"=SUMIF(B6:M6, "">0"")/COUNTIF(B6:M6, "">0"")",COUNTIF;SUMIF,
2012 YTD Summary,B7,='Daily Census IP 2012'!AH4,,Daily Census IP 2012
2012 YTD Summary,C7,='Daily Census IP 2012'!AH7,,Daily Census IP 2012
2012 YTD Summary,D7,='Daily Census IP 2012'!AH10,,Daily Census IP 2012
2012 YTD Summary,E7,='Daily Census IP 2012'!AH13,,Daily Census IP 2012
2012 YTD Summary,F7,='Daily Census IP 2012'!AH16,,Daily Census IP 2012
2012 YTD Summary,G7,='Daily Census IP 2012'!AH19,,Daily Census IP 2012
2012 YTD Summary,H7,='Daily Census IP 2012'!AH22,,Daily Census IP 2012
2012 YTD Summary,I7,='Daily Census IP 2012'!AH25,,Daily Census IP 2012
2012 YTD Summary,B8,='Jan Revenue  '!F51,,Jan Revenue  
2012 YTD Summary,C8,='Feb Revenue '!F51,,Feb Revenue 
2012 YTD Summary,D8,='Mar Revenue  '!F50,,Mar Revenue  
2012 YTD Summary,E8,='Apr Revenue '!F50,,Apr Revenue 
2012 YTD Summary,F8,='May Revenue  '!F51,,May Revenue  
2012 YTD Summary,G8,='June Revenue'!F50,,June Revenue
2012 YTD Summary,H8,='July Revenue  '!F50,,July Revenue  
2012 YTD Summary,I8,='Aug Revenue'!F50,,Aug Revenue
2012 YTD Summary,O8,=SUM(B8:M8),SUM,
2012 YTD Summary,B9,='Daily Census IP 2012'!AH5-B11,,Daily Census IP 2012
2012 YTD Summary,C9,='Daily Census IP 2012'!AH8-C11,,Daily Census IP 2012
2012 YTD Summary,D9,='Daily Census IP 2012'!AH11,,Daily Census IP 2012
2012 YTD Summary,E9,='Daily Census IP 2012'!AH14-E11,,Daily Census IP 2012
2012 YTD Summary,F9,='May Revenue  '!J57,,May Revenue  
2012 YTD Summary,G9,='Daily Census IP 2012'!AH20-G11,,Daily Census IP 2012
2012 YTD Summary,H9,='Daily Census IP 2012'!AH23-H11,,Daily Census IP 2012
2012 YTD Summary,I9,='Daily Census IP 2012'!AH26,,Daily Census IP 2012
2012 YTD Summary,J9,='Daily Census IP 2012'!AH29-J11,,Daily Census IP 2012
2012 YTD Summary,K9,='Daily Census IP 2012'!AH32-K11,,Daily Census IP 2012
2012 YTD Summary,L9,='Daily Census IP 2012'!AH35-L11,,Daily Census IP 2012
2012 YTD Summary,M9,='Daily Census IP 2012'!AH38-M11,,Daily Census IP 2012
2012 YTD Summary,N9,"=SUMIF(B9:M9, "">0"")/COUNTIF(B9:M9, "">0"")",COUNTIF;SUMIF,
2012 YTD Summary,B10,='Jan Revenue  '!E56-B11,,Jan Revenue  
2012 YTD Summary,C10,='Feb Revenue '!E56-C11,,Feb Revenue 
2012 YTD Summary,D10,='Mar Revenue  '!E55-D11,,Mar Revenue  
2012 YTD Summary,E10,='Apr Revenue '!E56-E11,,Apr Revenue 
2012 YTD Summary,F10,='May Revenue  '!E54,,May Revenue  
2012 YTD Summary,G10,='June Revenue'!E56,,June Revenue
2012 YTD Summary,H10,='July Revenue  '!E56,,July Revenue  
2012 YTD Summary,I10,='Aug Revenue'!E56,,Aug Revenue
2012 YTD Summary,B11,='Jan Revenue  '!M56,,Jan Revenue  
2012 YTD Summary,C11,='Feb Revenue '!M56,,Feb Revenue 
2012 YTD Summary,D11,='Mar Revenue  '!M55,,Mar Revenue  
2012 YTD Summary,E11,='Apr Revenue '!M56,,Apr Revenue 
2012 YTD Summary,F11,='May Revenue  '!M57,,May Revenue  
2012 YTD Summary,G11,='June Revenue'!M56,,June Revenue
2012 YTD Summary,H11,='July Revenue  '!M56,,July Revenue  
2012 YTD Summary,I11,='Aug Revenue'!M56,,Aug Revenue
2012 YTD Summary,J11,='Sep Revenue '!M56,,Sep Revenue 
2012 YTD Summary,K11,='Oct Revenue  '!M56,,Oct Revenue  
2012 YTD Summary,L11,='Nov Revenue   '!M56,,Nov Revenue   
2012 YTD Summary,M11,='Dec Revenue '!M56,,Dec Revenue 
2012 YTD Summary,B12,='Daily Census IP 2012'!AH6,,Daily Census IP 2012
2012 YTD Summary,C12,='Daily Census IP 2012'!AH9,,Daily Census IP 2012
2012 YTD Summary,D12,='Daily Census IP 2012'!AH12,,Daily Census IP 2012
2012 YTD Summary,E12,='Daily Census IP 2012'!AH15,,Daily Census IP 2012
2012 YTD Summary,F12,='Daily Census IP 2012'!AH18,,Daily Census IP 2012
2012 YTD Summary,G12,='Daily Census IP 2012'!AH21,,Daily Census IP 2012
2012 YTD Summary,H12,='Daily Census IP 2012'!AH24,,Daily Census IP 2012
2012 YTD Summary,I12,='Daily Census IP 2012'!AH27,,Daily Census IP 2012
2012 YTD Summary,J12,='Daily Census IP 2012'!AH30,,Daily Census IP 2012
2012 YTD Summary,K12,='Daily Census IP 2012'!AH33,,Daily Census IP 2012
2012 YTD Summary,L12,='Daily Census IP 2012'!AH36,,Daily Census IP 2012
2012 YTD Summary,M12,='Daily Census IP 2012'!AH39,,Daily Census IP 2012
2012 YTD Summary,N12,"=SUMIF(B12:M12, "">0"")/COUNTIF(B12:M12, "">0"")",COUNTIF;SUMIF,
2012 YTD Summary,B13,='Staffing January'!Z14,,Staffing January
2012 YTD Summary,C13,='Staffing February'!Z14,,Staffing February
2012 YTD Summary,D13,='Staffing March'!Z14,,Staffing March
2012 YTD Summary,E13,='Staffing April'!Z14,,Staffing April
2012 YTD Summary,F13,='Staffing May'!Z14,,Staffing May
2012 YTD Summary,G13,='Staffing June'!Z14,,Staffing June
2012 YTD Summary,H13,='Staffing July'!Z14,,Staffing July
2012 YTD Summary,I13,='Staffing August'!Z14,,Staffing August
2012 YTD Summary,J13,='Staffing September'!Z14,,Staffing September
2012 YTD Summary,K13,='Staffing October'!Z14,,Staffing October
2012 YTD Summary,L13,='Staffing November'!Z14,,Staffing November
2012 YTD Summary,M13,='Staffing December'!Z14,,Staffing December
2012 YTD Summary,B14,='Jan Revenue  '!M57,,Jan Revenue  
2012 YTD Summary,C14,='Feb Revenue '!M57,,Feb Revenue 
2012 YTD Summary,D14,='Mar Revenue  '!M56,,Mar Revenue  
2012 YTD Summary,E14,='Apr Revenue '!M57,,Apr Revenue 
2012 YTD Summary,F14,='May Revenue  '!M58,,May Revenue  
2012 YTD Summary,G14,='June Revenue'!M57,,June Revenue
2012 YTD Summary,H14,='July Revenue  '!M57,,July Revenue  
2012 YTD Summary,I14,='Aug Revenue'!M57,,Aug Revenue
2012 YTD Summary,J14,='Sep Revenue '!M57,,Sep Revenue 
2012 YTD Summary,K14,='Oct Revenue  '!M57,,Oct Revenue  
2012 YTD Summary,L14,='Nov Revenue   '!M57,,Nov Revenue   
2012 YTD Summary,M14,='Dec Revenue '!M57,,Dec Revenue 
2012 YTD Summary,B15,=SUM(B12)-SUM(B13+B14),SUM,
2012 YTD Summary,O15,=SUM(O12)-SUM(O13+O14),SUM,
2012 YTD Summary,B18,='Daily Census IOP 2012'!A5,,Daily Census IOP 2012
2012 YTD Summary,C18,='Daily Census IOP 2012'!A9,,Daily Census IOP 2012
2012 YTD Summary,D18,='Daily Census IOP 2012'!A13,,Daily Census IOP 2012
2012 YTD Summary,E18,='Daily Census IOP 2012'!A17,,Daily Census IOP 2012
2012 YTD Summary,F18,='Daily Census IOP 2012'!A21,,Daily Census IOP 2012
2012 YTD Summary,G18,='Daily Census IOP 2012'!A25,,Daily Census IOP 2012
2012 YTD Summary,H18,='Daily Census IOP 2012'!A29,,Daily Census IOP 2012
2012 YTD Summary,I18,='Daily Census IOP 2012'!A33,,Daily Census IOP 2012
2012 YTD Summary,J18,='Daily Census IOP 2012'!A37,,Daily Census IOP 2012
2012 YTD Summary,K18,='Daily Census IOP 2012'!A41,,Daily Census IOP 2012
2012 YTD Summary,L18,='Daily Census IOP 2012'!A45,,Daily Census IOP 2012
2012 YTD Summary,M18,='Daily Census IOP 2012'!A49,,Daily Census IOP 2012
2012 YTD Summary,N18,"=SUMIF(B18:M18, "">0"")/COUNTIF(B18:M18, "">0"")",COUNTIF;SUMIF,
2012 YTD Summary,B19,='Daily Census IOP 2012'!AH6,,Daily Census IOP 2012
2012 YTD Summary,C19,='Daily Census IOP 2012'!AH10,,Daily Census IOP 2012
2012 YTD Summary,D19,='Daily Census IOP 2012'!AH14,,Daily Census IOP 2012
2012 YTD Summary,E19,='Daily Census IOP 2012'!AH18,,Daily Census IOP 2012
2012 YTD Summary,F19,='Daily Census IOP 2012'!AH22,,Daily Census IOP 2012
2012 YTD Summary,G19,='Daily Census IOP 2012'!AH26,,Daily Census IOP 2012
2012 YTD Summary,H19,='Daily Census IOP 2012'!AH30,,Daily Census IOP 2012
2012 YTD Summary,I19,='Daily Census IOP 2012'!AH34,,Daily Census IOP 2012
2012 YTD Summary,J19,='Daily Census IOP 2012'!AH38,,Daily Census IOP 2012
2012 YTD Summary,K19,='Daily Census IOP 2012'!AH42,,Daily Census IOP 2012
2012 YTD Summary,L19,='Daily Census IOP 2012'!AH46,,Daily Census IOP 2012
2012 YTD Summary,M19,='Daily Census IOP 2012'!AH50,,Daily Census IOP 2012
2012 YTD Summary,O19,"=SUMIF(B19:M19, "">0"")",SUMIF,
2012 YTD Summary,B20,='Daily Census IOP 2012'!AH4,,Daily Census IOP 2012
2012 YTD Summary,C20,='Daily Census IOP 2012'!AH8,,Daily Census IOP 2012
2012 YTD Summary,D20,='Daily Census IOP 2012'!AH12,,Daily Census IOP 2012
2012 YTD Summary,E20,='Daily Census IOP 2012'!AH16,,Daily Census IOP 2012
2012 YTD Summary,F20,='Daily Census IOP 2012'!AH20,,Daily Census IOP 2012
2012 YTD Summary,G20,='Daily Census IOP 2012'!AH24,,Daily Census IOP 2012
2012 YTD Summary,H20,='Daily Census IOP 2012'!AH28,,Daily Census IOP 2012
2012 YTD Summary,I20,='Daily Census IOP 2012'!AH32,,Daily Census IOP 2012
