consumer_sheet,consumer_cell,referenced_sheet,referenced_range,resolution
Ancil Invoices,L71,2012 YTD Summary,K9,internal
Ancil Invoices,G72,2012 YTD Summary,J9,internal
Ancil Invoices,L72,2012 YTD Summary,K9,internal
Ancil Invoices,G73,2012 YTD Summary,J9,internal
Ancil Invoices,L73,2012 YTD Summary,K9,internal
Ancil Invoices,G74,2012 YTD Summary,J26,internal
Ancil Invoices,L74,2012 YTD Summary,K26,internal
Ancil Invoices,G85,2012 YTD Summary,L9,internal
Ancil Invoices,L85,2012 YTD Summary,M9,internal
Ancil Invoices,G86,2012 YTD Summary,L9,internal
Ancil Invoices,L86,2012 YTD Summary,M9,internal
Ancil Invoices,G87,2012 YTD Summary,L9,internal
Ancil Invoices,L87,2012 YTD Summary,M9,internal
Ancil Invoices,G88,2012 YTD Summary,L26,internal
Ancil Invoices,L88,2012 YTD Summary,M26,internal
Staffing January,U2,Daily Census IP 2012,G43,internal
Staffing January,AF8,Daily Census IP 2012,A46,internal
Staffing January,AF12,Daily Census IP 2012,A49,internal
Staffing January,AB14,2012 YTD Summary,O13,internal
Staffing January,AE14,2012 YTD Summary,O33,internal
Staffing January,G18,Daily Census IP 2012,AH5,internal
Staffing January,M18,Daily Census IP 2012,AI4,internal
Staffing January,O18,Daily Census IP 2012,A2,internal
Staffing January,C19,Daily Census IP 2012,B4,internal
Staffing January,D19,Daily Census IP 2012,C4,internal
Staffing January,E19,Daily Census IP 2012,D4,internal
Staffing January,F19,Daily Census IP 2012,E4,internal
Staffing January,G19,Daily Census IP 2012,F4,internal
Staffing January,H19,Daily Census IP 2012,G4,internal
Staffing January,I19,Daily Census IP 2012,H4,internal
Staffing January,J19,Daily Census IP 2012,I4,internal
Staffing January,K19,Daily Census IP 2012,J4,internal
Staffing January,L19,Daily Census IP 2012,K4,internal
Staffing January,M19,Daily Census IP 2012,L4,internal
Staffing January,N19,Daily Census IP 2012,M4,internal
Staffing January,O19,Daily Census IP 2012,N4,internal
Staffing January,P19,Daily Census IP 2012,O4,internal
Staffing January,Q19,Daily Census IP 2012,P4,internal
Staffing January,R19,Daily Census IP 2012,Q4,internal
Staffing January,S19,Daily Census IP 2012,R4,internal
Staffing January,T19,Daily Census IP 2012,S4,internal
Staffing January,U19,Daily Census IP 2012,T4,internal
Staffing January,V19,Daily Census IP 2012,U4,internal
Staffing January,W19,Daily Census IP 2012,V4,internal
Staffing January,X19,Daily Census IP 2012,W4,internal
Staffing January,Y19,Daily Census IP 2012,X4,internal
Staffing January,Z19,Daily Census IP 2012,Y4,internal
Staffing January,AA19,Daily Census IP 2012,Z4,internal
Staffing January,AB19,Daily Census IP 2012,AA4,internal
Staffing January,AC19,Daily Census IP 2012,AB4,internal
Staffing January,AD19,Daily Census IP 2012,AC4,internal
Staffing January,AE19,Daily Census IP 2012,AD4,internal
Staffing January,AF19,Daily Census IP 2012,AE4,internal
Staffing January,AG19,Daily Census IP 2012,AF4,internal
Staffing February,U2,Daily Census IP 2012,G43,internal
Staffing February,AF8,Daily Census IP 2012,A46,internal
Staffing February,AF12,Daily Census IP 2012,A49,internal
Staffing February,AB14,2012 YTD Summary,O13,internal
Staffing February,AE14,2012 YTD Summary,O33,internal
Staffing February,G18,Daily Census IP 2012,AH8,internal
Staffing February,M18,Daily Census IP 2012,AI7,internal
Staffing February,O18,Daily Census IP 2012,A2,internal
Staffing February,C19,Daily Census IP 2012,B7,internal
Staffing February,D19,Daily Census IP 2012,C7,internal
Staffing February,E19,Daily Census IP 2012,D7,internal
Staffing February,F19,Daily Census IP 2012,E7,internal
Staffing February,G19,Daily Census IP 2012,F7,internal
Staffing February,H19,Daily Census IP 2012,G7,internal
Staffing February,I19,Daily Census IP 2012,H7,internal
Staffing February,J19,Daily Census IP 2012,I7,internal
Staffing February,K19,Daily Census IP 2012,J7,internal
Staffing February,L19,Daily Census IP 2012,K7,internal
Staffing February,M19,Daily Census IP 2012,L7,internal
Staffing February,N19,Daily Census IP 2012,M7,internal
Staffing February,O19,Daily Census IP 2012,N7,internal
Staffing February,P19,Daily Census IP 2012,O7,internal
Staffing February,Q19,Daily Census IP 2012,P7,internal
Staffing February,R19,Daily Census IP 2012,Q7,internal
Staffing February,S19,Daily Census IP 2012,R7,internal
Staffing February,T19,Daily Census IP 2012,S7,internal
Staffing February,U19,Daily Census IP 2012,T7,internal
Staffing February,V19,Daily Census IP 2012,U7,internal
Staffing February,W19,Daily Census IP 2012,V7,internal
Staffing February,X19,Daily Census IP 2012,W7,internal
Staffing February,Y19,Daily Census IP 2012,X7,internal
Staffing February,Z19,Daily Census IP 2012,Y7,internal
Staffing February,AA19,Daily Census IP 2012,Z7,internal
Staffing February,AB19,Daily Census IP 2012,AA7,internal
Staffing February,AC19,Daily Census IP 2012,AB7,internal
Staffing February,AD19,Daily Census IP 2012,AC7,internal
Staffing February,AE19,Daily Census IP 2012,AD7,internal
Staffing March,U2,Daily Census IP 2012,G43,internal
Staffing March,AF8,Daily Census IP 2012,A46,internal
Staffing March,AF12,Daily Census IP 2012,A49,internal
Staffing March,AB14,2012 YTD Summary,O13,internal
Staffing March,AE14,2012 YTD Summary,O33,internal
Staffing March,G18,Daily Census IP 2012,AH11,internal
Staffing March,M18,Daily Census IP 2012,AI10,internal
Staffing March,O18,Daily Census IP 2012,A2,internal
Staffing March,C19,Daily Census IP 2012,B10,internal
Staffing March,D19,Daily Census IP 2012,C10,internal
Staffing March,E19,Daily Census IP 2012,D10,internal
Staffing March,F19,Daily Census IP 2012,E10,internal
Staffing March,G19,Daily Census IP 2012,F10,internal
Staffing March,H19,Daily Census IP 2012,G10,internal
Staffing March,I19,Daily Census IP 2012,H10,internal
Staffing March,J19,Daily Census IP 2012,I10,internal
Staffing March,K19,Daily Census IP 2012,J10,internal
Staffing March,L19,Daily Census IP 2012,K10,internal
Staffing March,M19,Daily Census IP 2012,L10,internal
Staffing March,N19,Daily Census IP 2012,M10,internal
Staffing March,O19,Daily Census IP 2012,N10,internal
Staffing March,P19,Daily Census IP 2012,O10,internal
Staffing March,Q19,Daily Census IP 2012,P10,internal
Staffing March,R19,Daily Census IP 2012,Q10,internal
Staffing March,S19,Daily Census IP 2012,R10,internal
Staffing March,T19,Daily Census IP 2012,S10,internal
Staffing March,U19,Daily Census IP 2012,T10,internal
Staffing March,V19,Daily Census IP 2012,U10,internal
Staffing March,W19,Daily Census IP 2012,V10,internal
Staffing March,X19,Daily Census IP 2012,W10,internal
Staffing March,Y19,Daily Census IP 2012,X10,internal
Staffing March,Z19,Daily Census IP 2012,Y10,internal
Staffing March,AA19,Daily Census IP 2012,Z10,internal
Staffing March,AB19,Daily Census IP 2012,AA10,internal
Staffing March,AC19,Daily Census IP 2012,AB10,internal
Staffing March,AD19,Daily Census IP 2012,AC10,internal
Staffing March,AE19,Daily Census IP 2012,AD10,internal
Staffing March,AF19,Daily Census IP 2012,AE10,internal
Staffing March,AG19,Daily Census IP 2012,AF10,internal
Staffing April,U2,Daily Census IP 2012,G43,internal
Staffing April,AF8,Daily Census IP 2012,A46,internal
Staffing April,AF12,Daily Census IP 2012,A49,internal
Staffing April,AB14,2012 YTD Summary,O13,internal
Staffing April,AE14,2012 YTD Summary,O33,internal
Staffing April,G18,Daily Census IP 2012,AH14,internal
Staffing April,M18,Daily Census IP 2012,AI13,internal
Staffing April,O18,Daily Census IP 2012,A2,internal
Staffing April,C19,Daily Census IP 2012,B13,internal
Staffing April,D19,Daily Census IP 2012,C13,internal
Staffing April,E19,Daily Census IP 2012,D13,internal
Staffing April,F19,Daily Census IP 2012,E13,internal
Staffing April,G19,Daily Census IP 2012,F13,internal
Staffing April,H19,Daily Census IP 2012,G13,internal
Staffing April,I19,Daily Census IP 2012,H13,internal
Staffing April,J19,Daily Census IP 2012,I13,internal
Staffing April,K19,Daily Census IP 2012,J13,internal
Staffing April,L19,Daily Census IP 2012,K13,internal
Staffing April,M19,Daily Census IP 2012,L13,internal
Staffing April,N19,Daily Census IP 2012,M13,internal
Staffing April,O19,Daily Census IP 2012,N13,internal
Staffing April,P19,Daily Census IP 2012,O13,internal
Staffing April,Q19,Daily Census IP 2012,P13,internal
Staffing April,R19,Daily Census IP 2012,Q13,internal
Staffing April,S19,Daily Census IP 2012,R13,internal
Staffing April,T19,Daily Census IP 2012,S13,internal
Staffing April,U19,Daily Census IP 2012,T13,internal
Staffing April,V19,Daily Census IP 2012,U13,internal
Staffing April,W19,Daily Census IP 2012,V13,internal
Staffing April,X19,Daily Census IP 2012,W13,internal
Staffing April,Y19,Daily Census IP 2012,X13,internal
Staffing April,Z19,Daily Census IP 2012,Y13,internal
Staffing April,AA19,Daily Census IP 2012,Z13,internal
Staffing April,AB19,Daily Census IP 2012,AA13,internal
Staffing April,AC19,Daily Census IP 2012,AB13,internal
Staffing April,AD19,Daily Census IP 2012,AC13,internal
Staffing April,AE19,Daily Census IP 2012,AD13,internal
Staffing April,AF19,Daily Census IP 2012,AE13,internal
Staffing May,U2,Daily Census IP 2012,G43,internal
Staffing May,AF8,Daily Census IP 2012,A46,internal
Staffing May,AF12,Daily Census IP 2012,A49,internal
Staffing May,AB14,2012 YTD Summary,O13,internal
Staffing May,AE14,2012 YTD Summary,O33,internal
Staffing May,G18,Daily Census IP 2012,AH17,internal
Staffing May,M18,Daily Census IP 2012,AI16,internal
Staffing May,O18,Daily Census IP 2012,A2,internal
Staffing May,C19,Daily Census IP 2012,B16,internal
Staffing May,D19,Daily Census IP 2012,C16,internal
Staffing May,E19,Daily Census IP 2012,D16,internal
Staffing May,F19,Daily Census IP 2012,E16,internal
Staffing May,G19,Daily Census IP 2012,F16,internal
Staffing May,H19,Daily Census IP 2012,G16,internal
Staffing May,I19,Daily Census IP 2012,H16,internal
Staffing May,J19,Daily Census IP 2012,I16,internal
Staffing May,K19,Daily Census IP 2012,J16,internal
Staffing May,L19,Daily Census IP 2012,K16,internal
Staffing May,M19,Daily Census IP 2012,L16,internal
Staffing May,N19,Daily Census IP 2012,M16,internal
Staffing May,O19,Daily Census IP 2012,N16,internal
Staffing May,P19,Daily Census IP 2012,O16,internal
Staffing May,Q19,Daily Census IP 2012,P16,internal
Staffing May,R19,Daily Census IP 2012,Q16,internal
Staffing May,S19,Daily Census IP 2012,R16,internal
Staffing May,T19,Daily Census IP 2012,S16,internal
Staffing May,U19,Daily Census IP 2012,T16,internal
Staffing May,V19,Daily Census IP 2012,U16,internal
Staffing May,W19,Daily Census IP 2012,V16,internal
Staffing May,X19,Daily Census IP 2012,W16,internal
Staffing May,Y19,Daily Census IP 2012,X16,internal
Staffing May,Z19,Daily Census IP 2012,Y16,internal
Staffing May,AA19,Daily Census IP 2012,Z16,internal
Staffing May,AB19,Daily Census IP 2012,AA16,internal
Staffing May,AC19,Daily Census IP 2012,AB16,internal
Staffing May,AD19,Daily Census IP 2012,AC16,internal
Staffing May,AE19,Daily Census IP 2012,AD16,internal
Staffing May,AF19,Daily Census IP 2012,AE16,internal
Staffing May,AG19,Daily Census IP 2012,AF16,internal
Staffing June,U2,Daily Census IP 2012,G43,internal
Staffing June,AF8,Daily Census IP 2012,A46,internal
Staffing June,AF12,Daily Census IP 2012,A49,internal
Staffing June,AB14,2012 YTD Summary,O13,internal
Staffing June,AE14,2012 YTD Summary,O33,internal
Staffing June,G18,Daily Census IP 2012,AH20,internal
Staffing June,M18,Daily Census IP 2012,AI19,internal
Staffing June,O18,Daily Census IP 2012,A2,internal
Staffing June,C19,Daily Census IP 2012,B19,internal
Staffing June,D19,Daily Census IP 2012,C19,internal
Staffing June,E19,Daily Census IP 2012,D19,internal
Staffing June,F19,Daily Census IP 2012,E19,internal
Staffing June,G19,Daily Census IP 2012,F19,internal
Staffing June,H19,Daily Census IP 2012,G19,internal
Staffing June,I19,Daily Census IP 2012,H19,internal
Staffing June,J19,Daily Census IP 2012,I19,internal
Staffing June,K19,Daily Census IP 2012,J19,internal
Staffing June,L19,Daily Census IP 2012,K19,internal
Staffing June,M19,Daily Census IP 2012,L19,internal
Staffing June,N19,Daily Census IP 2012,M19,internal
Staffing June,O19,Daily Census IP 2012,N19,internal
Staffing June,P19,Daily Census IP 2012,O19,internal
Staffing June,Q19,Daily Census IP 2012,P19,internal
Staffing June,R19,Daily Census IP 2012,Q19,internal
Staffing June,S19,Daily Census IP 2012,R19,internal
Staffing June,T19,Daily Census IP 2012,S19,internal
Staffing June,U19,Daily Census IP 2012,T19,internal
Staffing June,V19,Daily Census IP 2012,U19,internal
Staffing June,W19,Daily Census IP 2012,V19,internal
Staffing June,X19,Daily Census IP 2012,W19,internal
Staffing June,Y19,Daily Census IP 2012,X19,internal
Staffing June,Z19,Daily Census IP 2012,Y19,internal
Staffing June,AA19,Daily Census IP 2012,Z19,internal
Staffing June,AB19,Daily Census IP 2012,AA19,internal
Staffing June,AC19,Daily Census IP 2012,AB19,internal
Staffing June,AD19,Daily Census IP 2012,AC19,internal
Staffing June,AE19,Daily Census IP 2012,AD19,internal
Staffing June,AF19,Daily Census IP 2012,AE19,internal
Staffing July,U2,Daily Census IP 2012,G43,internal
Staffing July,AF8,Daily Census IP 2012,A46,internal
Staffing July,AF12,Daily Census IP 2012,A49,internal
Staffing July,AB14,2012 YTD Summary,O13,internal
Staffing July,AE14,2012 YTD Summary,O33,internal
Staffing July,G18,Daily Census IP 2012,AH23,internal
Staffing July,M18,Daily Census IP 2012,AI22,internal
Staffing July,O18,Daily Census IP 2012,A2,internal
Staffing July,C19,Daily Census IP 2012,B22,internal
Staffing July,D19,Daily Census IP 2012,C22,internal
Staffing July,E19,Daily Census IP 2012,D22,internal
Staffing July,F19,Daily Census IP 2012,E22,internal
Staffing July,G19,Daily Census IP 2012,F22,internal
Staffing July,H19,Daily Census IP 2012,G22,internal
Staffing July,I19,Daily Census IP 2012,H22,internal
Staffing July,J19,Daily Census IP 2012,I22,internal
Staffing July,K19,Daily Census IP 2012,J22,internal
Staffing July,L19,Daily Census IP 2012,K22,internal
Staffing July,M19,Daily Census IP 2012,L22,internal
Staffing July,N19,Daily Census IP 2012,M22,internal
Staffing July,O19,Daily Census IP 2012,N22,internal
Staffing July,P19,Daily Census IP 2012,O22,internal
Staffing July,Q19,Daily Census IP 2012,P22,internal
Staffing July,R19,Daily Census IP 2012,Q22,internal
Staffing July,S19,Daily Census IP 2012,R22,internal
Staffing July,T19,Daily Census IP 2012,S22,internal
Staffing July,U19,Daily Census IP 2012,T22,internal
Staffing July,V19,Daily Census IP 2012,U22,internal
Staffing July,W19,Daily Census IP 2012,V22,internal
Staffing July,X19,Daily Census IP 2012,W22,internal
Staffing July,Y19,Daily Census IP 2012,X22,internal
Staffing July,Z19,Daily Census IP 2012,Y22,internal
Staffing July,AA19,Daily Census IP 2012,Z22,internal
Staffing July,AB19,Daily Census IP 2012,AA22,internal
Staffing July,AC19,Daily Census IP 2012,AB22,internal
Staffing July,AD19,Daily Census IP 2012,AC22,internal
Staffing July,AE19,Daily Census IP 2012,AD22,internal
Staffing July,AF19,Daily Census IP 2012,AE22,internal
Staffing July,AG19,Daily Census IP 2012,AF22,internal
Staffing September,U2,Daily Census IP 2012,G43,internal
Staffing September,AF8,Daily Census IP 2012,A46,internal
Staffing September,AF12,Daily Census IP 2012,A49,internal
Staffing September,AB14,2012 YTD Summary,O13,internal
Staffing September,AE14,2012 YTD Summary,O33,internal
Staffing September,G18,Daily Census IP 2012,AH29,internal
Staffing September,M18,Daily Census IP 2012,AI25,internal
Staffing September,O18,Daily Census IP 2012,A2,internal
Staffing September,C19,Daily Census IP 2012,B28,internal
Staffing September,D19,Daily Census IP 2012,C28,internal
Staffing September,E19,Daily Census IP 2012,D28,internal
Staffing September,F19,Daily Census IP 2012,E28,internal
Staffing September,G19,Daily Census IP 2012,F28,internal
Staffing September,H19,Daily Census IP 2012,G28,internal
Staffing September,I19,Daily Census IP 2012,H28,internal
Staffing September,J19,Daily Census IP 2012,I28,internal
Staffing September,K19,Daily Census IP 2012,J28,internal
Staffing September,L19,Daily Census IP 2012,K28,internal
Staffing September,M19,Daily Census IP 2012,L28,internal
Staffing September,N19,Daily Census IP 2012,M28,internal
Staffing September,O19,Daily Census IP 2012,N28,internal
Staffing September,P19,Daily Census IP 2012,O28,internal
Staffing September,Q19,Daily Census IP 2012,P28,internal
Staffing September,R19,Daily Census IP 2012,Q28,internal
Staffing September,S19,Daily Census IP 2012,R28,internal
Staffing September,T19,Daily Census IP 2012,S28,internal
Staffing September,U19,Daily Census IP 2012,T28,internal
Staffing September,V19,Daily Census IP 2012,U28,internal
Staffing September,W19,Daily Census IP 2012,V28,internal
Staffing September,X19,Daily Census IP 2012,W28,internal
Staffing September,Y19,Daily Census IP 2012,X28,internal
Staffing September,Z19,Daily Census IP 2012,Y28,internal
Staffing September,AA19,Daily Census IP 2012,Z28,internal
Staffing September,AB19,Daily Census IP 2012,AA28,internal
Staffing September,AC19,Daily Census IP 2012,AB28,internal
Staffing September,AD19,Daily Census IP 2012,AC28,internal
Staffing September,AE19,Daily Census IP 2012,AD28,internal
Staffing September,AF19,Daily Census IP 2012,AE28,internal
Staffing October,U2,Daily Census IP 2012,G43,internal
Staffing October,AF8,Daily Census IP 2012,A46,internal
Staffing October,AF12,Daily Census IP 2012,A49,internal
Staffing October,AB14,2012 YTD Summary,O13,internal
Staffing October,AE14,2012 YTD Summary,O33,internal
Staffing October,G18,Daily Census IP 2012,AH32,internal
Staffing October,M18,Daily Census IP 2012,AI31,internal
Staffing October,O18,Daily Census IP 2012,A2,internal
Staffing October,C19,Daily Census IP 2012,B31,internal
Staffing October,D19,Daily Census IP 2012,C31,internal
Staffing October,E19,Daily Census IP 2012,D31,internal
Staffing October,F19,Daily Census IP 2012,E31,internal
Staffing October,G19,Daily Census IP 2012,F31,internal
Staffing October,H19,Daily Census IP 2012,G31,internal
Staffing October,I19,Daily Census IP 2012,H31,internal
Staffing October,J19,Daily Census IP 2012,I31,internal
Staffing October,K19,Daily Census IP 2012,J31,internal
Staffing October,L19,Daily Census IP 2012,K31,internal
Staffing October,M19,Daily Census IP 2012,L31,internal
Staffing October,N19,Daily Census IP 2012,M31,internal
Staffing October,O19,Daily Census IP 2012,N31,internal
Staffing October,P19,Daily Census IP 2012,O31,internal
Staffing October,Q19,Daily Census IP 2012,P31,internal
Staffing October,R19,Daily Census IP 2012,Q31,internal
Staffing October,S19,Daily Census IP 2012,R31,internal
Staffing October,T19,Daily Census IP 2012,S31,internal
Staffing October,U19,Daily Census IP 2012,T31,internal
Staffing October,V19,Daily Census IP 2012,U31,internal
Staffing October,W19,Daily Census IP 2012,V31,internal
Staffing October,X19,Daily Census IP 2012,W31,internal
Staffing October,Y19,Daily Census IP 2012,X31,internal
Staffing October,Z19,Daily Census IP 2012,Y31,internal
Staffing October,AA19,Daily Census IP 2012,Z31,internal
Staffing October,AB19,Daily Census IP 2012,AA31,internal
Staffing October,AC19,Daily Census IP 2012,AB31,internal
Staffing October,AD19,Daily Census IP 2012,AC31,internal
Staffing October,AE19,Daily Census IP 2012,AD31,internal
Staffing October,AF19,Daily Census IP 2012,AE31,internal
Staffing October,AG19,Daily Census IP 2012,AF31,internal
Staffing November,U2,Daily Census IP 2012,G43,internal
Staffing November,AF8,Daily Census IP 2012,A46,internal
Staffing November,AF12,Daily Census IP 2012,A49,internal
Staffing November,AB14,2012 YTD Summary,O13,internal
Staffing November,AE14,2012 YTD Summary,O33,internal
Staffing November,G18,Daily Census IP 2012,AH35,internal
Staffing November,M18,Daily Census IP 2012,AI34,internal
Staffing November,O18,Daily Census IP 2012,A2,internal
Staffing November,C19,Daily Census IP 2012,B34,internal
Staffing November,D19,Daily Census IP 2012,C34,internal
Staffing November,E19,Daily Census IP 2012,D34,internal
Staffing November,F19,Daily Census IP 2012,E34,internal
Staffing November,G19,Daily Census IP 2012,F34,internal
Staffing November,H19,Daily Census IP 2012,G34,internal
Staffing November,I19,Daily Census IP 2012,H34,internal
Staffing November,J19,Daily Census IP 2012,I34,internal
Staffing November,K19,Daily Census IP 2012,J34,internal
Staffing November,L19,Daily Census IP 2012,K34,internal
Staffing November,M19,Daily Census IP 2012,L34,internal
Staffing November,N19,Daily Census IP 2012,M34,internal
Staffing November,O19,Daily Census IP 2012,N34,internal
Staffing November,P19,Daily Census IP 2012,O34,internal
Staffing November,Q19,Daily Census IP 2012,P34,internal
Staffing November,R19,Daily Census IP 2012,Q34,internal
Staffing November,S19,Daily Census IP 2012,R34,internal
Staffing November,T19,Daily Census IP 2012,S34,internal
Staffing November,U19,Daily Census IP 2012,T34,internal
Staffing November,V19,Daily Census IP 2012,U34,internal
Staffing November,W19,Daily Census IP 2012,V34,internal
Staffing November,X19,Daily Census IP 2012,W34,internal
Staffing November,Y19,Daily Census IP 2012,X34,internal
Staffing November,Z19,Daily Census IP 2012,Y34,internal
Staffing November,AA19,Daily Census IP 2012,Z34,internal
Staffing November,AB19,Daily Census IP 2012,AA34,internal
Staffing November,AC19,Daily Census IP 2012,AB34,internal
Staffing November,AD19,Daily Census IP 2012,AC34,internal
Staffing November,AE19,Daily Census IP 2012,AD34,internal
Staffing November,AF19,Daily Census IP 2012,AE34,internal
Staffing December,U2,Daily Census IP 2012,G43,internal
Staffing December,AF8,Daily Census IP 2012,A46,internal
Staffing December,AF12,Daily Census IP 2012,A49,internal
Staffing December,AB14,2012 YTD Summary,O13,internal
Staffing December,AE14,2012 YTD Summary,O33,internal
Staffing December,G18,Daily Census IP 2012,AH38,internal
Staffing December,M18,Daily Census IP 2012,AI37,internal
Staffing December,O18,Daily Census IP 2012,A2,internal
Staffing December,C19,Daily Census IP 2012,B37,internal
Staffing December,D19,Daily Census IP 2012,C37,internal
Staffing December,E19,Daily Census IP 2012,D37,internal
Staffing December,F19,Daily Census IP 2012,E37,internal
Staffing December,G19,Daily Census IP 2012,F37,internal
Staffing December,H19,Daily Census IP 2012,G37,internal
Staffing December,I19,Daily Census IP 2012,H37,internal
Staffing December,J19,Daily Census IP 2012,I37,internal
Staffing December,K19,Daily Census IP 2012,J37,internal
Staffing December,L19,Daily Census IP 2012,K37,internal
Staffing December,M19,Daily Census IP 2012,L37,internal
Staffing December,N19,Daily Census IP 2012,M37,internal
Staffing December,O19,Daily Census IP 2012,N37,internal
Staffing December,P19,Daily Census IP 2012,O37,internal
Staffing December,Q19,Daily Census IP 2012,P37,internal
Staffing December,R19,Daily Census IP 2012,Q37,internal
Staffing December,S19,Daily Census IP 2012,R37,internal
Staffing December,T19,Daily Census IP 2012,S37,internal
Staffing December,U19,Daily Census IP 2012,T37,internal
Staffing December,V19,Daily Census IP 2012,U37,internal
Staffing December,W19,Daily Census IP 2012,V37,internal
Staffing December,X19,Daily Census IP 2012,W37,internal
Staffing December,Y19,Daily Census IP 2012,X37,internal
Staffing December,Z19,Daily Census IP 2012,Y37,internal
Staffing December,AA19,Daily Census IP 2012,Z37,internal
Staffing December,AB19,Daily Census IP 2012,AA37,internal
Staffing December,AC19,Daily Census IP 2012,AB37,internal
Staffing December,AD19,Daily Census IP 2012,AC37,internal
Staffing December,AE19,Daily Census IP 2012,AD37,internal
Staffing December,AF19,Daily Census IP 2012,AE37,internal
Staffing December,AG19,Daily Census IP 2012,AF37,internal
Jan Revenue  ,AA3,Staffing July,O18,internal
Jan Revenue  ,AA4,Staffing January,K1,internal
Jan Revenue  ,J56,Daily Census IP 2012,AH5,internal
Jan Revenue  ,A57,Daily Census IP 2012,AH6,internal
Jan Revenue  ,C57,Daily Census IP 2012,A49,internal
Feb Revenue ,AA3,Staffing July,O18,internal
Feb Revenue ,AA4,Staffing February,K1,internal
Feb Revenue ,J56,Daily Census IP 2012,AH8,internal
Feb Revenue ,A57,Daily Census IP 2012,AH9,internal
Feb Revenue ,C57,Daily Census IP 2012,A46,internal
Mar Revenue  ,AA3,Staffing July,O18,internal
Mar Revenue  ,AA4,Staffing March,K1,internal
Mar Revenue  ,J55,Daily Census IP 2012,AH11,internal
Mar Revenue  ,A56,Daily Census IP 2012,AH12,internal
Mar Revenue  ,C56,Daily Census IP 2012,A46,internal
Apr Revenue ,AA3,Staffing July,O18,internal
Apr Revenue ,AA4,Staffing April,K1,internal
Apr Revenue ,J56,Daily Census IP 2012,AH14,internal
Apr Revenue ,A57,Daily Census IP 2012,AH15,internal
Apr Revenue ,C57,Daily Census IP 2012,A46,internal
May Revenue  ,AA3,Staffing July,O18,internal
May Revenue  ,AA4,Staffing May,K1,internal
May Revenue  ,J57,Daily Census IP 2012,AH17,internal
May Revenue  ,A58,Daily Census IP 2012,AH18,internal
May Revenue  ,C58,Daily Census IP 2012,A46,internal
June Revenue,AC3,Staffing July,O18,internal
June Revenue,AC4,Staffing June,K1,internal
June Revenue,J56,Daily Census IP 2012,AH20,internal
June Revenue,A57,Daily Census IP 2012,AH21,internal
June Revenue,C57,Daily Census IP 2012,A46,internal
July Revenue  ,AC3,Staffing July,O18,internal
July Revenue  ,AC4,Staffing July,K1,internal
July Revenue  ,J56,Daily Census IP 2012,AH23,internal
July Revenue  ,A57,Daily Census IP 2012,AH24,internal
July Revenue  ,C57,Daily Census IP 2012,A46,internal
Sep Revenue ,AA3,Staffing July,O18,internal
Sep Revenue ,AA4,Staffing September,K1,internal
Sep Revenue ,J59,Daily Census IP 2012,AH29,internal
Sep Revenue ,A60,Daily Census IP 2012,AH30,internal
Sep Revenue ,C60,Daily Census IP 2012,A49,internal
Oct Revenue  ,AA3,Staffing July,O18,internal
Oct Revenue  ,AA4,Staffing October,K1,internal
Oct Revenue  ,J59,Daily Census IP 2012,AH32,internal
Oct Revenue  ,A60,Daily Census IP 2012,AH33,internal
Oct Revenue  ,C60,Daily Census IP 2012,A49,internal
Nov Revenue   ,AA3,Staffing July,O18,internal
Nov Revenue   ,AA4,Staffing November,K1,internal
Nov Revenue   ,J59,Daily Census IP 2012,AH35,internal
Nov Revenue   ,A60,Daily Census IP 2012,AH36,internal
Nov Revenue   ,C60,Daily Census IP 2012,A49,internal
Dec Revenue ,AA3,Staffing July,O18,internal
Dec Revenue ,AA4,Staffing December,K1,internal
Dec Revenue ,J59,Daily Census IP 2012,AH38,internal
Dec Revenue ,A60,Daily Census IP 2012,AH39,internal
Dec Revenue ,C60,Daily Census IP 2012,A49,internal
Jan IOP 2012 Attend,B86,Staffing January,K1,internal
Jan IOP 2012 Attend,C89,Daily Census IP 2012,A2,internal
Jan IOP 2012 Attend,C92,Daily Census IP 2012,A51,internal
Feb IOP 2012 Attend ,A1,Jan IOP 2012 Attend,A1:AJ1,internal
Feb IOP 2012 Attend ,B86,Staffing February,K1,internal
Feb IOP 2012 Attend ,C89,Daily Census IP 2012,A2,internal
Feb IOP 2012 Attend ,C92,Daily Census IP 2012,A51,internal
Mar IOP Attend,A1,Jan IOP 2012 Attend,A1:AJ1,internal
Mar IOP Attend,B86,Staffing March,K1,internal
Mar IOP Attend,C89,Daily Census IP 2012,A2,internal
Mar IOP Attend,C92,Daily Census IP 2012,A51,internal
Apr IOP Attend,A1,Jan IOP 2012 Attend,A1:AJ1,internal
Apr IOP Attend,B102,Staffing April,K1,internal
Apr IOP Attend,C105,Daily Census IP 2012,A2,internal
Apr IOP Attend,C108,Daily Census IP 2012,A51,internal
May IOP Attend,A1,Jan IOP 2012 Attend,A1:AJ1,internal
May IOP Attend,B120,Staffing May,K1,internal
May IOP Attend,C123,Daily Census IP 2012,A2,internal
May IOP Attend,C126,Daily Census IP 2012,A51,internal
June IOP Attend,A1,Jan IOP 2012 Attend,A1:AJ1,internal
June IOP Attend,B142,Staffing June,K1,internal
June IOP Attend,C145,Daily Census IP 2012,A2,internal
June IOP Attend,C148,Daily Census IP 2012,A51,internal
July IOP Attend,A1,Jan IOP 2012 Attend,A1:AJ1,internal
July IOP Attend,B76,Staffing July,K1,internal
